local_authority,code,year,expenditure_per_person
Aberdeen City,S12000033,2011,22403
Aberdeenshire,S12000034,2011,22922
Angus,S12000041,2011,20694
Argyll & Bute,S12000035,2011,23071
Clackmannanshire,S12000005,2011,20071
Dumfries & Galloway,S12000006,2011,8871
Dundee City,S12000042,2011,19761
East Ayrshire,S12000008,2011,25202
East Dunbartonshire,S12000045,2011,9729
East Lothian,S12000010,2011,21307
East Renfrewshire,S12000011,2011,20157
"Edinburgh, City of",S12000036,2011,18355
Eilean Siar,S12000013,2011,34600
Falkirk,S12000014,2011,18249
Fife,S12000015,2011,18578
Glasgow City,S12000046,2011,21057
Highland,S12000017,2011,20657
Inverclyde,S12000018,2011,18775
Midlothian,S12000019,2011,19874
Moray,S12000020,2011,14388
North Ayrshire,S12000021,2011,18183
North Lanarkshire,S12000044,2011,26487
Orkney Islands,S12000023,2011,44330
Perth & Kinross,S12000024,2011,20543
Renfrewshire,S12000038,2011,17215
Scottish Borders,S12000026,2011,16426
Shetland Islands,S12000027,2011,79170
South Ayrshire,S12000028,2011,18761
South Lanarkshire,S12000029,2011,21529
Stirling,S12000030,2011,20874
West Dunbartonshire,S12000039,2011,28818
West Lothian,S12000040,2011,20646
Aberdeen City,S12000033,2012,23535
Aberdeenshire,S12000034,2012,21488
Angus,S12000041,2012,21234
Argyll & Bute,S12000035,2012,25439
Clackmannanshire,S12000005,2012,21227
Dumfries & Galloway,S12000006,2012,11077
Dundee City,S12000042,2012,21769
East Ayrshire,S12000008,2012,19956
East Dunbartonshire,S12000045,2012,9967
East Lothian,S12000010,2012,28417
East Renfrewshire,S12000011,2012,20746
"Edinburgh, City of",S12000036,2012,18896
Eilean Siar,S12000013,2012,36717
Falkirk,S12000014,2012,18175
Fife,S12000015,2012,20978
Glasgow City,S12000046,2012,20865
Highland,S12000017,2012,19952
Inverclyde,S12000018,2012,19684
Midlothian,S12000019,2012,25487
Moray,S12000020,2012,15954
North Ayrshire,S12000021,2012,19196
North Lanarkshire,S12000044,2012,23546
Orkney Islands,S12000023,2012,49330
Perth & Kinross,S12000024,2012,18232
Renfrewshire,S12000038,2012,18695
Scottish Borders,S12000026,2012,20589
Shetland Islands,S12000027,2012,78533
South Ayrshire,S12000028,2012,20454
South Lanarkshire,S12000029,2012,21946
Stirling,S12000030,2012,22187
West Dunbartonshire,S12000039,2012,22966
West Lothian,S12000040,2012,18977
Aberdeen City,S12000033,2013,20810
Aberdeenshire,S12000034,2013,20458
Angus,S12000041,2013,21685
Argyll & Bute,S12000035,2013,23559
Clackmannanshire,S12000005,2013,24543
Dumfries & Galloway,S12000006,2013,12620
Dundee City,S12000042,2013,20542
East Ayrshire,S12000008,2013,17140
East Dunbartonshire,S12000045,2013,10562
East Lothian,S12000010,2013,21963
East Renfrewshire,S12000011,2013,20682
"Edinburgh, City of",S12000036,2013,21508
Eilean Siar,S12000013,2013,36056
Falkirk,S12000014,2013,16384
Fife,S12000015,2013,21192
Glasgow City,S12000046,2013,18812
Highland,S12000017,2013,24117
Inverclyde,S12000018,2013,19452
Midlothian,S12000019,2013,24705
Moray,S12000020,2013,15363
North Ayrshire,S12000021,2013,17946
North Lanarkshire,S12000044,2013,22851
Orkney Islands,S12000023,2013,43350
Perth & Kinross,S12000024,2013,17638
Renfrewshire,S12000038,2013,20813
Scottish Borders,S12000026,2013,19752
Shetland Islands,S12000027,2013,57822
South Ayrshire,S12000028,2013,20487
South Lanarkshire,S12000029,2013,22024
Stirling,S12000030,2013,22643
West Dunbartonshire,S12000039,2013,22343
West Lothian,S12000040,2013,20043
Aberdeen City,S12000033,2014,20479
Aberdeenshire,S12000034,2014,19762
Angus,S12000041,2014,22127
Argyll & Bute,S12000035,2014,25065
Clackmannanshire,S12000005,2014,24475
Dumfries & Galloway,S12000006,2014,12499
Dundee City,S12000042,2014,21330
East Ayrshire,S12000008,2014,19349
East Dunbartonshire,S12000045,2014,12138
East Lothian,S12000010,2014,22993
East Renfrewshire,S12000011,2014,20330
"Edinburgh, City of",S12000036,2014,21559
Eilean Siar,S12000013,2014,35411
Falkirk,S12000014,2014,17573
Fife,S12000015,2014,21314
Glasgow City,S12000046,2014,21108
Highland,S12000017,2014,22041
Inverclyde,S12000018,2014,17612
Midlothian,S12000019,2014,21256
Moray,S12000020,2014,16269
North Ayrshire,S12000021,2014,18335
North Lanarkshire,S12000044,2014,23688
Orkney Islands,S12000023,2014,47240
Perth & Kinross,S12000024,2014,16587
Renfrewshire,S12000038,2014,21742
Scottish Borders,S12000026,2014,21765
Shetland Islands,S12000027,2014,49030
South Ayrshire,S12000028,2014,19433
South Lanarkshire,S12000029,2014,22551
Stirling,S12000030,2014,22027
West Dunbartonshire,S12000039,2014,24431
West Lothian,S12000040,2014,21360
Aberdeen City,S12000033,2015,19966
Aberdeenshire,S12000034,2015,19596
Angus,S12000041,2015,24065
Argyll & Bute,S12000035,2015,25833
Clackmannanshire,S12000005,2015,17782
Dumfries & Galloway,S12000006,2015,9987
Dundee City,S12000042,2015,22397
East Ayrshire,S12000008,2015,18409
East Dunbartonshire,S12000045,2015,14392
East Lothian,S12000010,2015,22586
East Renfrewshire,S12000011,2015,17753
"Edinburgh, City of",S12000036,2015,20486
Eilean Siar,S12000013,2015,35479
Falkirk,S12000014,2015,18345
Fife,S12000015,2015,19494
Glasgow City,S12000046,2015,20019
Highland,S12000017,2015,22990
Inverclyde,S12000018,2015,19610
Midlothian,S12000019,2015,22166
Moray,S12000020,2015,17245
North Ayrshire,S12000021,2015,18950
North Lanarkshire,S12000044,2015,22716
Orkney Islands,S12000023,2015,42680
Perth & Kinross,S12000024,2015,17132
Renfrewshire,S12000038,2015,21653
Scottish Borders,S12000026,2015,20927
Shetland Islands,S12000027,2015,57875
South Ayrshire,S12000028,2015,20816
South Lanarkshire,S12000029,2015,22064
Stirling,S12000030,2015,22093
West Dunbartonshire,S12000039,2015,25070
West Lothian,S12000040,2015,21613
Aberdeen City,S12000033,2016,21129
Aberdeenshire,S12000034,2016,20413
Angus,S12000041,2016,26839
Argyll & Bute,S12000035,2016,27169
Clackmannanshire,S12000005,2016,18839
Dumfries & Galloway,S12000006,2016,10525
Dundee City,S12000042,2016,22771
East Ayrshire,S12000008,2016,17674
East Dunbartonshire,S12000045,2016,12306
East Lothian,S12000010,2016,23984
East Renfrewshire,S12000011,2016,12927
"Edinburgh, City of",S12000036,2016,20647
Eilean Siar,S12000013,2016,37074
Falkirk,S12000014,2016,19495
Fife,S12000015,2016,20586
Glasgow City,S12000046,2016,19810
Highland,S12000017,2016,24420
Inverclyde,S12000018,2016,20647
Midlothian,S12000019,2016,20883
Moray,S12000020,2016,16076
North Ayrshire,S12000021,2016,18904
North Lanarkshire,S12000044,2016,25199
Orkney Islands,S12000023,2016,46411
Perth & Kinross,S12000024,2016,16058
Renfrewshire,S12000038,2016,18706
Scottish Borders,S12000026,2016,21015
Shetland Islands,S12000027,2016,71100
South Ayrshire,S12000028,2016,16811
South Lanarkshire,S12000029,2016,22267
Stirling,S12000030,2016,23652
West Dunbartonshire,S12000039,2016,25340
West Lothian,S12000040,2016,22427
Aberdeen City,S12000033,2017,21277
Aberdeenshire,S12000034,2017,19870
Angus,S12000041,2017,28441
Argyll & Bute,S12000035,2017,25529
Clackmannanshire,S12000005,2017,19050
Dumfries & Galloway,S12000006,2017,10058
Dundee City,S12000042,2017,22625
East Ayrshire,S12000008,2017,19252
East Dunbartonshire,S12000045,2017,11330
East Lothian,S12000010,2017,23197
East Renfrewshire,S12000011,2017,11134
"Edinburgh, City of",S12000036,2017,19850
Eilean Siar,S12000013,2017,36816
Falkirk,S12000014,2017,18899
Fife,S12000015,2017,31985
Glasgow City,S12000046,2017,20862
Highland,S12000017,2017,24334
Inverclyde,S12000018,2017,22469
Midlothian,S12000019,2017,19222
Moray,S12000020,2017,15763
North Ayrshire,S12000021,2017,20085
North Lanarkshire,S12000044,2017,24681
Orkney Islands,S12000023,2017,37973
Perth & Kinross,S12000024,2017,16060
Renfrewshire,S12000038,2017,18897
Scottish Borders,S12000026,2017,22451
Shetland Islands,S12000027,2017,62338
South Ayrshire,S12000028,2017,16623
South Lanarkshire,S12000029,2017,22706
Stirling,S12000030,2017,24618
West Dunbartonshire,S12000039,2017,24186
West Lothian,S12000040,2017,22238
Aberdeen City,S12000033,2018,11429
Aberdeenshire,S12000034,2018,15369
Angus,S12000041,2018,26881
Argyll & Bute,S12000035,2018,23604
Clackmannanshire,S12000005,2018,20525
Dumfries & Galloway,S12000006,2018,10096
Dundee City,S12000042,2018,24711
East Ayrshire,S12000008,2018,17159
East Dunbartonshire,S12000045,2018,14944
East Lothian,S12000010,2018,22289
East Renfrewshire,S12000011,2018,9944
"Edinburgh, City of",S12000036,2018,22804
Eilean Siar,S12000013,2018,31174
Falkirk,S12000014,2018,16775
Fife,S12000015,2018,30533
Glasgow City,S12000046,2018,15499
Highland,S12000017,2018,26661
Inverclyde,S12000018,2018,19032
Midlothian,S12000019,2018,22350
Moray,S12000020,2018,17415
North Ayrshire,S12000021,2018,20359
North Lanarkshire,S12000044,2018,24816
Orkney Islands,S12000023,2018,42200
Perth & Kinross,S12000024,2018,14675
Renfrewshire,S12000038,2018,12102
Scottish Borders,S12000026,2018,21506
Shetland Islands,S12000027,2018,63922
South Ayrshire,S12000028,2018,17411
South Lanarkshire,S12000029,2018,22353
Stirling,S12000030,2018,24529
West Dunbartonshire,S12000039,2018,26270
West Lothian,S12000040,2018,22287
Aberdeen City,S12000033,2019,21652
Aberdeenshire,S12000034,2019,19249
Angus,S12000041,2019,24789
Argyll & Bute,S12000035,2019,24628
Clackmannanshire,S12000005,2019,23175
Dumfries & Galloway,S12000006,2019,10771
Dundee City,S12000042,2019,22629
East Ayrshire,S12000008,2019,20127
East Dunbartonshire,S12000045,2019,10504
East Lothian,S12000010,2019,21992
East Renfrewshire,S12000011,2019,14709
"Edinburgh, City of",S12000036,2019,20612
Eilean Siar,S12000013,2019,35305
Falkirk,S12000014,2019,17155
Fife,S12000015,2019,29635
Glasgow City,S12000046,2019,19639
Highland,S12000017,2019,24044
Inverclyde,S12000018,2019,20529
Midlothian,S12000019,2019,20753
Moray,S12000020,2019,16487
North Ayrshire,S12000021,2019,21062
North Lanarkshire,S12000044,2019,22759
Orkney Islands,S12000023,2019,55263
Perth & Kinross,S12000024,2019,15676
Renfrewshire,S12000038,2019,14677
Scottish Borders,S12000026,2019,21729
Shetland Islands,S12000027,2019,63644
South Ayrshire,S12000028,2019,16987
South Lanarkshire,S12000029,2019,21609
Stirling,S12000030,2019,23659
West Dunbartonshire,S12000039,2019,25315
West Lothian,S12000040,2019,20091
Aberdeen City,S12000033,2020,33685
Aberdeenshire,S12000034,2020,20216
Angus,S12000041,2020,33459
Argyll & Bute,S12000035,2020,23720
Clackmannanshire,S12000005,2020,34656
Dumfries & Galloway,S12000006,2020,10901
Dundee City,S12000042,2020,29576
East Ayrshire,S12000008,2020,19818
East Dunbartonshire,S12000045,2020,16485
East Lothian,S12000010,2020,23638
East Renfrewshire,S12000011,2020,14086
"Edinburgh, City of",S12000036,2020,27146
Eilean Siar,S12000013,2020,40100
Falkirk,S12000014,2020,15583
Fife,S12000015,2020,28256
Glasgow City,S12000046,2020,13857
Highland,S12000017,2020,34392
Inverclyde,S12000018,2020,17445
Midlothian,S12000019,2020,25048
Moray,S12000020,2020,15079
North Ayrshire,S12000021,2020,19045
North Lanarkshire,S12000044,2020,21599
Orkney Islands,S12000023,2020,58529
Perth & Kinross,S12000024,2020,18467
Renfrewshire,S12000038,2020,11127
Scottish Borders,S12000026,2020,23823
Shetland Islands,S12000027,2020,76438
South Ayrshire,S12000028,2020,18360
South Lanarkshire,S12000029,2020,26811
Stirling,S12000030,2020,29208
West Dunbartonshire,S12000039,2020,30183
West Lothian,S12000040,2020,25449
